date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:38	606487/606487	---M--	200	added ('OK')	image/jpeg	etag:%22cdf72fd08869d61:0%22	http://www.sesligul.com/theme/kariyer/images/home-bg/anasayfa.jpg	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/images/home-bg/anasayfa.jpg	(from http://www.sesligul.com/theme/kariyer/css/Style.css)
16:57:38	5268/5268	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2013:58:14%20GMT	http://www.sesligul.com/theme/kariyer/images/chat/yetkililier_nav.png	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/images/chat/yetkililier_nav.83.delayed	(from http://www.sesligul.com/theme/kariyer/js/Slider/Css/Style.css)
16:57:39	5184/5184	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2013:58:15%20GMT	http://www.sesligul.com/GET	C:/Users/teymen/Desktop/Site/www.sesligul.com/GET.84.delayed	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide-full.js)
16:57:39	209/209	---M--	200	added ('OK')	image/gif	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/fullexpand.gif	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/fullexpand.gif	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:39	622119/622119	---M--	200	added ('OK')	image/jpeg	etag:%22c7fd7d3e8969d61:0%22	http://www.sesligul.com/theme/kariyer/images/home-bg/anasayfa1.jpg	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/images/home-bg/anasayfa1.jpg	(from http://www.sesligul.com/theme/kariyer/css/Style.css)
16:57:40	673/673	---M--	200	added ('OK')	image/gif	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/loader.white.gif	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/loader.white.gif	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:41	1910/1910	---M--	200	added ('OK')	image/png	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/close.png	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/close.png	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:41	4999/4999	---M--	200	added ('OK')	image/gif	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/controlbar-white.gif	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/controlbar-white.gif	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:41	70/70	---M--	200	added ('OK')	image/gif	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/resize.gif	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/resize.gif	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:42	3665/3665	---M--	200	added ('OK')	image/png	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/closeX.png	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/closeX.png	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:43	867/867	---M--	200	added ('OK')	image/gif	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/icon.gif	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/icon.gif	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:43	5109/5109	---M--	200	added ('OK')	image/gif	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/controlbar-black-border.gif	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/controlbar-black-border.gif	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:44	3151/3151	---M--	200	added ('OK')	image/gif	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/controlbar-white-small.gif	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/controlbar-white-small.gif	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:44	1300/1300	---M--	200	added ('OK')	image/png	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/controlbar-text-buttons.png	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/controlbar-text-buttons.png	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:45	805/805	---M--	200	added ('OK')	text/css	etag:%22b5dee379b15ed61:0%22	http://www.sesligul.com/cool/theme/login/css/Reset.css	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/css/Reset.css	(from http://www.sesligul.com/cool/)
16:57:45	6463/6463	---M--	200	added ('OK')	image/png	etag:%2203ead8774dcd1:0%22	http://www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/scrollarrows.png	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/js/AjaxResim/graphics/scrollarrows.png	(from http://www.sesligul.com/theme/kariyer/js/AjaxResim/highslide.css)
16:57:48	9619/9619	---M--	200	added ('OK')	text/css	etag:%22a28dcb9b15ed61:0%22	http://www.sesligul.com/cool/theme/login/css/Css3.css	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/css/Css3.css	(from http://www.sesligul.com/cool/)
16:57:49	975264/975264	---M--	200	added ('OK')	text/css	etag:%22bb62b8c3406ad61:0%22	http://www.sesligul.com/cool/theme/login/css/Style-Login.css	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/css/Style-Login.css	(from http://www.sesligul.com/cool/)
16:57:50	78546/78546	---M--	200	added ('OK')	text/css	etag:%228a721d7bb15ed61:0%22	http://www.sesligul.com/cool/theme/login/css/Animate.css	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/css/Animate.css	(from http://www.sesligul.com/cool/)
16:57:52	5252/5252	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2013:58:26%20GMT	http://www.sesligul.com/cool/theme/login/images/favicon.ico	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/images/favicon.94.delayed	(from http://www.sesligul.com/cool/)
16:57:53	94020/94020	---M--	200	added ('OK')	application/x-javascript	etag:%22f9e192b15ed61:0%22	http://www.sesligul.com/cool/theme/login/js/1.7.0-jquery.min.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/1.7.0-jquery.min.js	(from http://www.sesligul.com/cool/)
16:57:54	94660/94660	---M--	200	added ('OK')	application/x-javascript	etag:%2260b7d98fb15ed61:0%22	http://www.sesligul.com/cool/theme/login/js/NiceScroll.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/NiceScroll.js	(from http://www.sesligul.com/cool/)
16:57:56	5215/5215	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2013:58:31%20GMT	http://www.sesligul.com/cool/login.html?y=	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/login.9765f3.delayed	(from http://www.sesligul.com/cool/)
16:57:57	5213/5213	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2013:58:33%20GMT	http://www.sesligul.com/cool/chat.html?y=	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/chat.9865f3.delayed	(from http://www.sesligul.com/cool/)
16:57:57	94020/94020	---M--	200	added ('OK')	application/x-javascript	etag:%225459590b15ed61:0%22	http://www.sesligul.com/cool/theme/login/js/jquery-1.7.min.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/jquery-1.7.min.js	(from http://www.sesligul.com/cool/)
16:57:58	6982/6982	---M--	200	added ('OK')	application/x-javascript	etag:%22b75ac3ee8366d61:0%22	http://www.sesligul.com/cool/theme/login/js/Function.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/Function.js	(from http://www.sesligul.com/cool/)
16:57:59	7634/7634	---M--	200	added ('OK')	application/x-javascript	etag:%22f3f88a547b4d61:0%22	http://www.sesligul.com/cool/js/Function.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/js/Function.js	(from http://www.sesligul.com/cool/)
16:57:59	5178/5178	---M--	200	added ('OK')	application/x-javascript	etag:%22341c6091b15ed61:0%22	http://www.sesligul.com/cool/theme/login/js/css_browser_selector_dev.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/css_browser_selector_dev.js	(from http://www.sesligul.com/cool/)
16:58:00	8997/8997	---M--	200	added ('OK')	text/css	etag:%227c889b507669d61:0%22	http://www.sesligul.com/cool/theme/login/js/Slider/Css/Style.css	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/Slider/Css/Style.css	(from http://www.sesligul.com/cool/)
16:58:00	8097/8097	---M--	200	added ('OK')	application/x-javascript	etag:%22d14d6b9fb15ed61:0%22	http://www.sesligul.com/cool/theme/login/js/Slider/JavaScript/Easing.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/Slider/JavaScript/Easing.js	(from http://www.sesligul.com/cool/)
16:58:01	54068/54068	---M--	200	added ('OK')	application/x-javascript	etag:%22a194ee9fb15ed61:0%22	http://www.sesligul.com/cool/theme/login/js/Slider/JavaScript/Cycle.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/Slider/JavaScript/Cycle.js	(from http://www.sesligul.com/cool/)
16:58:02	2666/2666	---M--	200	added ('OK')	application/x-javascript	etag:%22d644239fb15ed61:0%22	http://www.sesligul.com/cool/theme/login/js/Slider/JavaScript/Function.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/Slider/JavaScript/Function.js	(from http://www.sesligul.com/cool/)
16:58:04	98870/98870	---M--	200	added ('OK')	application/x-javascript	etag:%22f0301693b15ed61:0%22	http://www.sesligul.com/cool/theme/login/js/AjaxResim/highslide-full.js	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/AjaxResim/highslide-full.js	(from http://www.sesligul.com/cool/)
16:58:05	510229/510229	---M--	200	added ('OK')	image/png	etag:%229dd4461f546ad61:0%22	http://www.sesligul.com/theme/kariyer/images/footer.png	C:/Users/teymen/Desktop/Site/www.sesligul.com/theme/kariyer/images/footer.png	(from http://www.sesligul.com/theme/kariyer/css/Style.css)
16:58:05	21301/21301	---M--	200	added ('OK')	text/css	etag:%22bb3b9292b15ed61:0%22	http://www.sesligul.com/cool/theme/login/js/AjaxResim/highslide.css	C:/Users/teymen/Desktop/Site/www.sesligul.com/cool/theme/login/js/AjaxResim/highslide.css	(from http://www.sesligul.com/cool/)
